0	1	2
PF02365.15	0	None
PF05970.14	0	None
PF02668.16	0	None
PF02668.16	0	None
PF02668.16	0	None
PF00078.27	0	None
PF17919.1	0	None
PF00612.27	0	None
PF13178.6	0	None
PF07727.14	0	None
PF13456.6	0	None
PF00249.31	0	None
PF00078.27	0	None
PF00665.26	0	None
PF07727.14	0	None
PF13966.6	0	None
PF00390.19	0	None
PF03949.15	0	None
PF03949.15	0	None
PF03949.15	0	None
PF00400.32	0	None
PF00400.32	0	None
PF00400.32	0	None
PF00400.32	0	None
PF00400.32	0	None
PF00190.22	0	None
PF12460.8	0	None
PF03985.13	0	None
PF03985.13	0	None
PF00067.22	0	None
PF00067.22	0	None
PF12738.7	0	None
PF00067.22	0	None
PF13966.6	0	None
PF00078.27	0	None
PF03195.14	0	None
PF00013.29	0	None
PF00013.29	0	None
PF00013.29	0	None
PF00013.29	0	None
PF13599.6	0	None
PF00069.25	1	Kinase, 
PF12338.8	0	None
PF00101.20	0	None
PF14223.6	0	None
PF07727.14	0	None
PF08423.11	0	None
PF00078.27	0	None
PF14223.6	0	None
PF10551.9	2	WRKY, 
PF06839.12	0	None
PF08423.11	0	None
PF08284.11	1	Protease, 
PF00078.27	0	None
PF07727.14	0	None
PF14244.6	0	None
PF14223.6	0	None
PF13976.6	0	None
PF00665.26	0	None
PF07727.14	0	None
PF07727.14	0	None
PF03101.15	3	Signal, WRKY, 
PF08284.11	1	Protease, 
PF17917.1	0	None
PF17921.1	0	None
PF00665.26	0	None
PF01398.21	2	Signal, Protease, 
PF17917.1	0	None
PF13456.6	0	None
PF07727.14	0	None
PF11976.8	0	None
PF03732.17	1	Protease, 
PF08284.11	1	Protease, 
PF17921.1	0	None
PF03101.15	3	Signal, WRKY, 
PF10551.9	2	WRKY, 
PF10551.9	2	WRKY, 
PF02362.21	0	None
PF01398.21	2	Signal, Protease, 
PF18323.1	1	Signal, 
PF02458.15	0	None
PF03732.17	1	Protease, 
PF12171.8	0	None
PF12756.7	0	None
PF17921.1	0	None
PF00665.26	0	None
PF12756.7	0	None
PF00282.19	0	None
PF04195.12	0	None
PF03078.15	0	None
PF00282.19	0	None
PF13650.6	1	Protease, 
PF00078.27	0	None
PF00160.21	1	Signal, 
PF07231.12	4	Resistance, Nematode, 
PF07014.12	4	Resistance, Nematode, 
PF13456.6	0	None
PF00665.26	0	None
PF07727.14	0	None
PF07727.14	0	None
PF00665.26	0	None
PF07727.14	0	None
