0	1	2	3	4	5
http://pfam.xfam.org/family/PF00400	scaffold39869:143-1834	ID=maker-scaffold39869-exonerate_protein2genome-gene-0.0-mRNA-1;Parent=maker-scaffold39869-exonerate_protein2genome-gene-0.0;Dbxref=PFAM:PF00400,SUPERFAMILY:SSF50978,InterPro:IPR001680,InterPro:IPR017986;Name=at5g14050;Ontology_term=GO:0005515;_AED=0.00;_QI=0|-1|0|1|-1|0|1|0|563;_eAED=0.00;product=U3 	PF00400	2	Apoptosis, Signal, 
http://pfam.xfam.org/family/PF00069	scaffold3164:6656-12255	ID=maker-scaffold3164-exonerate_protein2genome-gene-0.1-mRNA-1;Parent=maker-scaffold3164-exonerate_protein2genome-gene-0.1;Dbxref=PFAM:PF00069,PFAM:PF00139,SUPERFAMILY:SSF49899,SUPERFAMILY:SSF56112,InterPro:IPR000719,InterPro:IPR001220,InterPro:IPR011009,InterPro:IPR013320;Name=lecrk91;Ontology_term=GO:0004672,GO:0005524,GO:0006468,GO:0030246;_AED=0.25;_QI=0|0|0|1|0|0|2|0|653;_eAED=0.25;product=L-type 	PF00069	4	Apoptosis, Signal, Kinase, Embryo, 
http://pfam.xfam.org/family/PF00139	scaffold3164:6656-12255	ID=maker-scaffold3164-exonerate_protein2genome-gene-0.1-mRNA-1;Parent=maker-scaffold3164-exonerate_protein2genome-gene-0.1;Dbxref=PFAM:PF00069,PFAM:PF00139,SUPERFAMILY:SSF49899,SUPERFAMILY:SSF56112,InterPro:IPR000719,InterPro:IPR001220,InterPro:IPR011009,InterPro:IPR013320;Name=lecrk91;Ontology_term=GO:0004672,GO:0005524,GO:0006468,GO:0030246;_AED=0.25;_QI=0|0|0|1|0|0|2|0|653;_eAED=0.25;product=L-type 	PF00139	0	None
http://pfam.xfam.org/family/PF13202	scaffold33615:15330-23071	ID=evm-scaffold33615-processed-gene-0.19-mRNA-1;Parent=evm-scaffold33615-processed-gene-0.19;Dbxref=PFAM:PF13202,PFAM:PF13499,SUPERFAMILY:SSF47473,InterPro:IPR002048,InterPro:IPR011992;Name=cbl10_2;Ontology_term=GO:0005509;_AED=0.14;_QI=0|1|0.90|1|0.6|0.63|11|299|323;_eAED=0.14;product=Calcineurin 	PF13202	1	Signal, 
http://pfam.xfam.org/family/PF13499	scaffold33615:15330-23071	ID=evm-scaffold33615-processed-gene-0.19-mRNA-1;Parent=evm-scaffold33615-processed-gene-0.19;Dbxref=PFAM:PF13202,PFAM:PF13499,SUPERFAMILY:SSF47473,InterPro:IPR002048,InterPro:IPR011992;Name=cbl10_2;Ontology_term=GO:0005509;_AED=0.14;_QI=0|1|0.90|1|0.6|0.63|11|299|323;_eAED=0.14;product=Calcineurin 	PF13499	1	Signal, 
http://pfam.xfam.org/family/PF00400	scaffold11953:17909-21813	ID=evm-scaffold11953-processed-gene-0.96-mRNA-1;Parent=evm-scaffold11953-processed-gene-0.96;Dbxref=PFAM:PF00400,SUPERFAMILY:SSF50978,InterPro:IPR001680,InterPro:IPR017986;Name=fy;Ontology_term=GO:0005515;_AED=0.35;_QI=6|0|0|1|1|0.9|10|0|263;_eAED=0.35;product=Flowering 	PF00400	2	Apoptosis, Signal, 
http://pfam.xfam.org/family/PF05553	scaffold19738:23404-24009	ID=maker-scaffold19738-exonerate_protein2genome-gene-0.13-mRNA-1;Parent=maker-scaffold19738-exonerate_protein2genome-gene-0.13;Dbxref=PFAM:PF05553,InterPro:IPR008480;Name=ggnbp2;_AED=0.00;_QI=0|-1|0|1|-1|0|1|0|201;_eAED=0.00;product=Gametogenetin-binding 	PF05553	1	Signal, 
http://pfam.xfam.org/family/PF01490	scaffold33615:30650-32915	ID=evm-scaffold33615-processed-gene-0.14-mRNA-1;Parent=evm-scaffold33615-processed-gene-0.14;Dbxref=PFAM:PF01490,InterPro:IPR013057;Name=slc38a6_4;_AED=0.24;_QI=0|0|0|1|1|0.33|3|0|273;_eAED=0.24;product=Probable 	PF01490	1	Signal, 
http://pfam.xfam.org/family/PF00067	scaffold32842:32357-36383	ID=evm-scaffold32842-processed-gene-0.5-mRNA-1;Parent=evm-scaffold32842-processed-gene-0.5;Dbxref=PFAM:PF00067,SUPERFAMILY:SSF48264,InterPro:IPR001128;Name=cyp735a1;Ontology_term=GO:0005506,GO:0016705,GO:0020037,GO:0055114;_AED=0.05;_QI=76|1|1|1|0.5|0.6|5|232|516;_eAED=0.05;product=Cytokinin 	PF00067	4	Resistance, Signal, Embryo, 
http://pfam.xfam.org/family/PF12796	scaffold15066:35550-35839	ID=evm-scaffold15066-processed-gene-0.84-mRNA-1;Parent=evm-scaffold15066-processed-gene-0.84;Dbxref=PFAM:PF12796,SUPERFAMILY:SSF48403,InterPro:IPR020683;Name=at3g12360_8;_AED=0.48;_QI=11|-1|0|1|-1|1|1|0|93;_eAED=0.50;product=Ankyrin 	PF12796	2	Signal, Kinase, 
